,date,passport,Immigration,Travel Visa,Refugee,Conflict,War,Violence,Crisis,Militia,Genocide,Armed Forces,Civilian,Currency,Lottery,Economy,Bureau de change,Wage,Protest,Government,country,Coup dՎtat
66,2010-07-01,4,5,0.0,0.0,9,51,4,17,0.0,0.0,0.0,0.0,13,11.0,6,0.0,4,16,0,UA,
67,2010-08-01,10,8,0.0,0.0,12,51,4,14,0.0,0.0,14.0,5.0,19,0.0,7,0.0,0,15,5,UA,
68,2010-09-01,13,9,0.0,0.0,10,47,0,10,0.0,0.0,0.0,0.0,19,10.0,17,0.0,4,12,8,UA,
69,2010-10-01,10,10,0.0,0.0,10,47,0,22,8.0,0.0,0.0,0.0,24,20.0,14,0.0,0,11,20,UA,
70,2010-11-01,6,0,0.0,0.0,8,45,3,17,0.0,13.0,0.0,8.0,7,10.0,4,0.0,4,13,13,UA,
71,2010-12-01,14,9,0.0,0.0,15,46,0,15,0.0,0.0,5.0,0.0,16,12.0,8,0.0,5,0,11,UA,
72,2011-01-01,9,3,0.0,2.0,9,53,2,20,0.0,0.0,2.0,0.0,10,5.0,6,1.0,0,0,3,UA,
73,2011-02-01,8,4,0.0,0.0,7,49,2,28,0.0,0.0,2.0,1.0,10,5.0,9,0.0,3,7,5,UA,
74,2011-03-01,9,4,0.0,0.0,6,53,2,31,2.0,2.0,0.0,0.0,9,9.0,12,0.0,0,5,6,UA,
75,2011-04-01,10,4,1.0,0.0,11,51,3,29,0.0,2.0,3.0,2.0,12,8.0,8,0.0,2,4,4,UA,
76,2011-05-01,9,6,1.0,0.0,7,44,3,22,0.0,1.0,3.0,0.0,11,10.0,8,0.0,1,0,7,UA,
77,2011-06-01,9,3,1.0,0.0,8,42,2,18,2.0,0.0,2.0,0.0,10,5.0,10,0.0,0,0,4,UA,
78,2011-07-01,11,4,0.0,0.0,10,46,2,20,1.0,0.0,2.0,0.0,10,14.0,7,0.0,2,2,3,UA,
79,2011-08-01,12,5,0.0,0.0,7,49,1,14,2.0,4.0,0.0,2.0,12,11.0,7,0.0,0,2,5,UA,
80,2011-09-01,13,3,0.0,0.0,8,47,3,17,2.0,0.0,4.0,0.0,16,10.0,7,0.0,1,0,6,UA,
81,2011-10-01,8,4,0.0,0.0,8,46,2,16,2.0,0.0,1.0,1.0,13,21.0,7,0.0,1,5,7,UA,
82,2011-11-01,9,4,1.0,1.0,6,44,2,18,0.0,2.0,0.0,0.0,9,12.0,10,0.0,1,3,8,UA,
83,2011-12-01,9,1,0.0,0.0,8,41,3,14,1.0,0.0,0.0,0.0,10,9.0,8,0.0,1,0,6,UA,
84,2012-01-01,10,3,0.0,1.0,10,45,1,13,1.0,0.0,0.0,1.0,12,8.0,8,0.0,3,2,6,UA,
85,2012-02-01,7,3,0.0,5.0,6,45,3,20,0.0,0.0,0.0,0.0,11,6.0,7,0.0,3,4,5,UA,
86,2012-03-01,7,3,0.0,3.0,6,44,3,11,1.0,1.0,0.0,0.0,11,7.0,5,0.0,2,1,7,UA,
87,2012-04-01,7,3,1.0,2.0,8,40,2,14,0.0,2.0,0.0,0.0,11,9.0,9,0.0,1,7,7,UA,
88,2012-05-01,7,4,1.0,0.0,8,42,2,16,1.0,0.0,0.0,1.0,9,12.0,8,0.0,1,3,5,UA,
89,2012-06-01,9,5,1.0,3.0,7,39,1,12,1.0,1.0,0.0,1.0,13,9.0,8,0.0,2,3,5,UA,
90,2012-07-01,8,3,0.0,1.0,9,43,2,12,1.0,0.0,0.0,0.0,11,8.0,7,0.0,1,4,6,UA,
91,2012-08-01,9,2,1.0,1.0,9,43,2,13,1.0,1.0,0.0,0.0,11,6.0,6,2.0,1,4,4,UA,
92,2012-09-01,11,3,0.0,0.0,7,41,2,12,0.0,1.0,2.0,0.0,11,7.0,6,1.0,2,3,3,UA,
93,2012-10-01,7,3,0.0,1.0,10,43,2,11,1.0,0.0,0.0,0.0,11,18.0,7,0.0,1,2,5,UA,
94,2012-11-01,7,2,0.0,2.0,9,48,2,8,1.0,0.0,2.0,0.0,9,6.0,7,0.0,1,0,6,UA,
95,2012-12-01,6,2,0.0,1.0,9,51,2,16,0.0,1.0,0.0,1.0,8,6.0,8,0.0,0,5,4,UA,
96,2013-01-01,9,4,0.0,0.0,8,56,1,15,1.0,0.0,1.0,0.0,10,5.0,6,0.0,2,5,4,UA,
97,2013-02-01,8,3,0.0,0.0,7,53,1,27,0.0,0.0,1.0,0.0,8,6.0,5,0.0,2,4,6,UA,
98,2013-03-01,7,3,0.0,1.0,8,62,2,22,0.0,2.0,0.0,0.0,8,6.0,6,1.0,1,2,4,UA,
99,2013-04-01,7,3,0.0,1.0,11,50,2,13,0.0,1.0,1.0,0.0,9,7.0,8,0.0,2,3,5,UA,
100,2013-05-01,7,4,0.0,2.0,10,56,2,14,0.0,0.0,0.0,1.0,9,10.0,5,0.0,0,3,4,UA,
101,2013-06-01,8,4,0.0,2.0,8,57,1,10,0.0,0.0,0.0,0.0,9,5.0,7,0.0,1,5,3,UA,
102,2013-07-01,8,3,0.0,1.0,10,56,2,10,1.0,0.0,0.0,0.0,9,5.0,4,0.0,1,2,3,UA,
103,2013-08-01,7,2,0.0,2.0,14,60,1,11,0.0,1.0,3.0,0.0,10,6.0,5,0.0,1,3,3,UA,
104,2013-09-01,5,3,0.0,2.0,9,66,1,11,0.0,0.0,0.0,0.0,11,6.0,5,0.0,0,3,5,UA,
105,2013-10-01,7,2,0.0,5.0,9,55,1,9,0.0,1.0,1.0,0.0,9,12.0,6,0.0,1,4,9,UA,
106,2013-11-01,9,2,0.0,1.0,10,53,1,6,1.0,0.0,0.0,1.0,9,6.0,5,0.0,2,6,6,UA,
107,2013-12-01,7,3,0.0,0.0,8,52,1,7,0.0,0.0,0.0,0.0,9,4.0,5,1.0,1,9,7,UA,
108,2014-01-01,9,2,0.0,2.0,8,53,2,12,1.0,0.0,0.0,0.0,8,6.0,4,0.0,1,7,4,UA,
109,2014-02-01,7,2,0.0,0.0,8,46,1,9,0.0,0.0,1.0,0.0,12,4.0,5,0.0,2,6,5,UA,
110,2014-03-01,9,3,0.0,3.0,8,49,1,22,0.0,1.0,1.0,0.0,11,3.0,7,0.0,1,3,6,UA,
111,2014-04-01,7,2,0.0,2.0,7,50,1,16,0.0,1.0,0.0,1.0,12,5.0,6,0.0,1,3,5,UA,
112,2014-05-01,7,3,0.0,2.0,7,54,2,19,0.0,0.0,1.0,0.0,9,10.0,6,0.0,2,3,6,UA,
113,2014-06-01,6,3,0.0,1.0,8,48,1,10,1.0,1.0,1.0,0.0,8,4.0,6,0.0,2,3,5,UA,
114,2014-07-01,7,2,0.0,1.0,9,46,1,10,0.0,0.0,1.0,0.0,9,5.0,5,0.0,1,0,3,UA,
115,2014-08-01,8,2,0.0,5.0,9,44,1,9,0.0,1.0,1.0,0.0,10,5.0,3,0.0,0,3,4,UA,
116,2014-09-01,12,3,0.0,3.0,10,42,1,9,1.0,1.0,0.0,0.0,11,9.0,6,0.0,1,3,4,UA,
117,2014-10-01,13,2,0.0,3.0,9,41,1,10,1.0,0.0,0.0,0.0,9,14.0,6,0.0,1,2,4,UA,
118,2014-11-01,13,3,0.0,1.0,8,47,1,10,1.0,0.0,0.0,0.0,11,5.0,7,0.0,1,3,4,UA,
119,2014-12-01,11,2,0.0,3.0,8,49,1,9,0.0,0.0,1.0,1.0,12,3.0,6,0.0,1,4,5,UA,
120,2015-01-01,10,3,0.0,2.0,9,50,1,10,0.0,0.0,0.0,0.0,11,5.0,5,1.0,0,3,3,UA,
121,2015-02-01,10,3,0.0,2.0,9,48,1,11,0.0,0.0,0.0,0.0,14,4.0,5,0.0,1,1,3,UA,
122,2015-03-01,10,3,0.0,3.0,9,47,1,11,1.0,0.0,1.0,0.0,14,5.0,6,0.0,0,3,4,UA,
123,2015-04-01,9,2,0.0,1.0,8,41,1,9,0.0,2.0,1.0,0.0,10,6.0,6,0.0,2,2,4,UA,
124,2015-05-01,11,3,0.0,0.0,7,41,1,9,1.0,1.0,0.0,0.0,10,9.0,7,0.0,3,1,5,UA,
125,2015-06-01,10,3,0.0,4.0,8,43,1,10,1.0,0.0,1.0,1.0,9,6.0,6,1.0,1,2,3,UA,
126,2015-07-01,12,2,0.0,3.0,8,43,0,6,2.0,1.0,0.0,1.0,10,4.0,6,0.0,2,2,4,UA,
127,2015-08-01,12,3,0.0,2.0,9,41,0,7,0.0,1.0,1.0,0.0,9,7.0,6,0.0,1,2,3,UA,
128,2015-09-01,10,3,1.0,3.0,9,36,1,9,1.0,1.0,0.0,0.0,8,9.0,7,0.0,2,2,4,UA,
129,2015-10-01,8,2,1.0,2.0,7,36,1,7,1.0,1.0,1.0,0.0,9,17.0,6,0.0,2,1,6,UA,
130,2015-11-01,8,3,0.0,5.0,8,33,2,7,0.0,0.0,0.0,0.0,7,6.0,6,0.0,0,2,4,UA,
131,2015-12-01,11,1,0.0,2.0,7,35,1,5,1.0,1.0,0.0,1.0,8,3.0,6,0.0,2,3,4,UA,
132,2016-01-01,8,2,0.0,1.0,8,38,1,7,0.0,0.0,1.0,0.0,9,4.0,4,0.0,1,3,4,UA,
133,2016-02-01,8,2,0.0,2.0,9,35,1,7,1.0,1.0,1.0,1.0,9,3.0,7,0.0,2,3,5,UA,
134,2016-03-01,11,2,0.0,1.0,8,34,2,7,0.0,1.0,0.0,0.0,8,3.0,5,0.0,2,5,5,UA,
135,2016-04-01,8,1,0.0,3.0,8,32,1,8,0.0,1.0,1.0,0.0,7,4.0,8,0.0,2,2,5,UA,
136,2016-05-01,9,2,0.0,1.0,8,42,2,4,1.0,1.0,2.0,0.0,8,10.0,5,1.0,1,1,6,UA,
137,2016-06-01,11,2,0.0,3.0,6,39,2,6,0.0,1.0,1.0,0.0,11,4.0,5,0.0,1,2,5,UA,
138,2016-07-01,10,2,0.0,0.0,6,34,2,6,0.0,1.0,0.0,0.0,11,3.0,5,0.0,2,4,3,UA,
139,2016-08-01,9,3,0.0,5.0,7,35,1,6,1.0,1.0,0.0,0.0,8,4.0,4,0.0,2,4,3,UA,
140,2016-09-01,12,1,1.0,1.0,6,29,1,8,1.0,1.0,1.0,0.0,8,6.0,7,0.0,1,3,4,UA,
141,2016-10-01,8,2,0.0,2.0,6,30,1,7,2.0,1.0,1.0,0.0,7,11.0,7,0.0,1,4,5,UA,
142,2016-11-01,9,3,0.0,2.0,5,30,1,7,1.0,1.0,0.0,0.0,7,6.0,5,0.0,1,3,6,UA,
143,2016-12-01,9,2,0.0,0.0,6,33,1,10,2.0,1.0,1.0,0.0,7,3.0,7,0.0,1,3,4,UA,
144,2017-01-01,11,2,0.0,2.0,6,34,2,8,1.0,1.0,1.0,0.0,6,3.0,4,0.0,2,3,4,UA,
145,2017-02-01,11,2,0.0,2.0,6,33,1,8,1.0,0.0,0.0,0.0,7,3.0,5,0.0,2,3,5,UA,
146,2017-03-01,9,3,1.0,2.0,6,32,1,8,1.0,2.0,0.0,0.0,7,2.0,6,0.0,2,3,4,UA,
147,2017-04-01,12,3,0.0,1.0,6,35,1,6,0.0,1.0,0.0,0.0,7,4.0,6,0.0,1,2,5,UA,
148,2017-05-01,12,2,0.0,1.0,6,31,2,8,2.0,1.0,0.0,0.0,7,12.0,5,0.0,1,3,5,UA,
149,2017-06-01,13,2,0.0,3.0,5,33,1,7,0.0,0.0,0.0,0.0,9,3.0,5,0.0,1,2,4,UA,
150,2017-07-01,12,3,0.0,2.0,5,30,1,7,1.0,1.0,1.0,0.0,11,4.0,5,0.0,3,2,4,UA,
151,2017-08-01,12,2,0.0,1.0,3,32,1,5,2.0,1.0,0.0,0.0,8,4.0,4,0.0,2,4,3,UA,
152,2017-09-01,13,2,0.0,1.0,5,31,2,7,1.0,0.0,1.0,0.0,10,5.0,6,1.0,2,2,5,UA,
153,2017-10-01,10,2,0.0,2.0,5,35,2,7,1.0,0.0,0.0,0.0,10,14.0,7,0.0,2,2,5,UA,
154,2017-11-01,10,2,0.0,2.0,4,31,1,8,1.0,1.0,1.0,0.0,9,10.0,8,0.0,2,3,6,UA,
155,2017-12-01,10,2,0.0,2.0,8,31,1,7,1.0,0.0,1.0,0.0,10,3.0,6,0.0,2,4,3,UA,
156,2018-01-01,10,2,0.0,3.0,5,33,1,7,1.0,1.0,0.0,0.0,8,4.0,4,0.0,1,3,4,UA,
157,2018-02-01,11,1,0.0,1.0,5,29,1,6,2.0,1.0,0.0,0.0,7,3.0,4,0.0,1,4,3,UA,
158,2018-03-01,10,2,0.0,2.0,5,30,1,6,2.0,1.0,1.0,0.0,8,3.0,4,0.0,2,2,4,UA,
159,2018-04-01,13,3,0.0,2.0,4,43,2,8,1.0,2.0,2.0,0.0,9,4.0,7,0.0,3,4,6,UA,
160,2018-05-01,12,3,0.0,0.0,4,38,1,8,1.0,0.0,1.0,0.0,11,8.0,7,0.0,2,2,5,UA,
161,2018-06-01,12,3,0.0,1.0,4,30,1,6,1.0,1.0,1.0,0.0,11,5.0,7,0.0,2,0,6,UA,
162,2018-07-01,12,3,0.0,2.0,4,30,1,6,1.0,1.0,1.0,0.0,10,4.0,5,0.0,2,4,5,UA,
163,2018-08-01,14,3,0.0,3.0,4,31,2,7,1.0,2.0,0.0,0.0,10,4.0,5,0.0,3,2,6,UA,
164,2018-09-01,13,4,0.0,1.0,5,28,1,7,2.0,1.0,0.0,0.0,10,5.0,6,1.0,4,2,6,UA,
165,2018-10-01,12,4,0.0,1.0,3,28,2,5,1.0,1.0,0.0,0.0,10,17.0,7,0.0,4,2,8,UA,
166,2018-11-01,9,3,0.0,2.0,3,25,2,7,2.0,1.0,1.0,0.0,9,10.0,6,0.0,2,4,8,UA,
167,2018-12-01,13,3,0.0,1.0,4,28,2,7,1.0,1.0,1.0,1.0,10,4.0,6,0.0,4,4,9,UA,
168,2019-01-01,11,4,0.0,2.0,4,27,1,5,2.0,0.0,1.0,0.0,9,3.0,6,0.0,2,3,7,UA,
169,2019-02-01,11,4,0.0,1.0,3,26,2,6,2.0,1.0,0.0,0.0,9,3.0,6,0.0,3,3,5,UA,
170,2019-03-01,9,3,0.0,1.0,3,27,1,6,2.0,1.0,0.0,0.0,9,4.0,7,0.0,1,4,5,UA,
171,2019-04-01,12,4,0.0,2.0,4,28,1,7,1.0,2.0,0.0,0.0,9,4.0,6,0.0,3,3,8,UA,
172,2019-05-01,11,3,1.0,2.0,5,27,1,6,2.0,1.0,1.0,0.0,10,15.0,9,0.0,3,3,9,UA,
173,2019-06-01,12,5,0.0,2.0,4,28,2,7,2.0,1.0,1.0,0.0,13,5.0,9,0.0,4,3,9,UA,
174,2019-07-01,12,5,0.0,3.0,4,27,2,5,2.0,1.0,1.0,0.0,11,4.0,8,0.0,3,2,9,UA,
175,2019-08-01,11,5,0.0,1.0,4,27,1,7,2.0,1.0,1.0,0.0,11,4.0,8,1.0,3,4,7,UA,
176,2019-09-01,11,4,0.0,2.0,4,23,2,5,2.0,1.0,0.0,0.0,13,5.0,7,0.0,3,4,6,UA,
177,2019-10-01,11,2,0.0,1.0,4,24,2,6,1.0,1.0,1.0,0.0,11,12.0,8,0.0,3,4,7,UA,
178,2019-11-01,9,3,0.0,2.0,4,24,1,7,1.0,1.0,0.0,0.0,8,11.0,7,0.0,3,3,6,UA,
179,2019-12-01,10,3,0.0,1.0,5,25,1,10,0.0,1.0,0.0,0.0,10,4.0,7,0.0,3,3,5,UA,
180,2020-01-01,10,3,0.0,1.0,4,26,1,8,2.0,1.0,0.0,0.0,9,6.0,7,0.0,2,3,6,UA,
181,2020-02-01,8,3,0.0,2.0,4,25,1,6,1.0,0.0,1.0,0.0,10,4.0,8,0.0,3,2,5,UA,
182,2020-03-01,8,3,0.0,1.0,4,29,2,8,1.0,1.0,1.0,0.0,10,3.0,7,0.0,2,2,6,UA,
183,2020-04-01,8,3,0.0,1.0,5,31,2,11,1.0,1.0,0.0,0.0,8,3.0,8,0.0,2,2,9,UA,
184,2020-05-01,8,4,0.0,1.0,5,28,1,8,1.0,2.0,0.0,0.0,7,4.0,6,0.0,1,3,8,UA,
185,2020-06-01,9,2,0.0,1.0,4,24,2,7,1.0,0.0,1.0,0.0,8,8.0,6,0.0,2,7,6,UA,
186,2020-07-01,9,3,0.0,0.0,4,23,1,5,2.0,1.0,0.0,0.0,7,2.0,5,0.0,2,4,4,UA,
187,2020-08-01,9,3,0.0,2.0,3,25,1,5,2.0,3.0,0.0,0.0,7,3.0,4,0.0,1,3,4,UA,
188,2020-09-01,7,3,0.0,1.0,3,21,1,6,1.0,1.0,0.0,1.0,7,5.0,6,0.0,1,2,5,UA,
189,2020-10-01,8,3,0.0,2.0,3,25,1,6,1.0,1.0,1.0,0.0,7,13.0,6,0.0,3,2,6,UA,
190,2020-11-01,8,3,0.0,1.0,3,24,1,5,1.0,0.0,1.0,0.0,6,10.0,6,0.0,2,2,7,UA,
191,2020-12-01,7,3,0.0,1.0,3,24,1,6,1.0,0.0,0.0,0.0,7,2.0,5,0.0,2,2,6,UA,
192,2021-01-01,8,3,0.0,0.0,3,24,1,5,1.0,1.0,0.0,0.0,6,2.0,4,0.0,1,5,4,UA,
193,2021-02-01,7,2,0.0,1.0,4,21,1,4,1.0,1.0,0.0,0.0,8,2.0,4,0.0,2,2,4,UA,
194,2021-03-01,7,3,0.0,1.0,3,20,1,7,1.0,1.0,0.0,0.0,6,2.0,5,0.0,2,3,5,UA,
195,2021-04-01,9,2,0.0,1.0,4,23,1,6,1.0,1.0,1.0,1.0,8,3.0,7,1.0,1,2,6,UA,
196,2021-05-01,9,2,0.0,0.0,3,24,2,8,1.0,1.0,1.0,0.0,9,9.0,5,0.0,2,2,5,UA,
197,2021-06-01,9,3,0.0,0.0,3,21,1,6,1.0,1.0,0.0,0.0,8,3.0,5,1.0,2,2,4,UA,
198,2021-07-01,11,2,1.0,2.0,3,20,1,4,0.0,1.0,0.0,0.0,9,2.0,5,0.0,3,3,3,UA,
199,2021-08-01,10,3,0.0,1.0,3,20,1,5,0.0,1.0,0.0,0.0,9,3.0,5,0.0,1,2,5,UA,
200,2021-09-01,9,2,0.0,0.0,3,21,1,4,0.0,1.0,0.0,0.0,10,4.0,5,0.0,2,3,6,UA,
201,2021-10-01,10,3,0.0,2.0,3,22,1,7,0.0,1.0,0.0,0.0,11,12.0,7,0.0,2,4,7,UA,
202,2021-11-01,11,3,0.0,2.0,4,19,2,6,1.0,1.0,0.0,0.0,10,7.0,7,0.0,2,4,8,UA,
203,2021-12-01,10,3,0.0,1.0,4,20,1,7,0.0,1.0,0.0,0.0,10,2.0,8,0.0,3,3,7,UA,
204,2022-01-01,11,3,0.0,1.0,4,44,1,5,1.0,2.0,1.0,0.0,10,2.0,6,0.0,3,3,6,UA,
